stock_code,market_cap
011070,4958258916500
011080,156445962688
011170,7329387048122
011200,13032902568400
011210,2287106480300
011230,35347837200
011280,295968829200
011320,141041073500
011370,195231563775
011560,66023100000
011690,955413822000
011790,6740557044000
011810,130971773504
011930,481953963160
012330,23832419688000
012450,2278350000000
012510,2470120339200
012610,291866082300
012620,56540000000
012750,3165331527400
012800,185926617960
012860,144108826230
013030,257290084800
013120,487639497000
013310,137181267370
013360,330632265600
013520,140644018120
013570,144231588840
013810,89398367000
013870,123016206000
014190,144077617420
014200,183965120310
014530,150635894400
014570,101090000000
014620,262262000000
014680,3729279155000
014710,89880794460
014790,213522509640
014820,1520716213100
014830,1197070699008
014940,200068371790
014970,110261250000
015230,54287237000
015260,46794776855
015590,116530665552
015710,116227215000
015760,14508388140200
015860,329641186440
016100,78504674340
016250,85068980175
016360,4228355000000
016380,1130100536100
016580,333871256500
016670,97450799328
016800,449075000000
016920,129626256240
017000,109329412990
017250,29674108470
017370,124718707740
017480,96101686800
017510,81718560000
017650,97200000000
017670,11685689889600
017810,649955241100
017890,300320064000
017940,359464000000
017960,551707500350
018000,383480682291
018260,11838803400000
018290,274146949350
018310,237405000000
018620,63700891065
018670,1269158550000
018700,132250855815
018880,7686720000000
019180,76680000000
019210,264463534350
019540,51621570000
019680,367186854750
019770,83880000000
019990,136097427600
020000,1038154500000
020120,598735528500
020150,4634138917500
020180,49957589500
020400,35399742600
020560,1677985278200
020710,126703170400
020760,102439745992
021040,669539035200
021240,5859689748600
021650,73087016610
022100,1017112337010
022220,110581426165
023000,131800000000
023160,310050000000
023350,81249000000
023410,390419858150
023440,106152377680
023450,233928000000
023530,2970319275000
023590,1045392176100
023600,232848000000
023770,97479524800
023790,86716744440
023910,181800000000
024090,261495000000
024740,82948435200
024800,110257128450
024840,66725467200
024880,86553651250
024900,121793025200
024910,137186770000
024940,63600000000
024950,129550111520
025000,279268000000
025320,204274609862
025540,784249500000
025560,10279684163
025750,161130298000
025770,347108392170
025820,130089380000
025870,49800000000
025880,54911593530
025900,682880587308
025980,1125047391600
026040,80125900450
026150,202660123050
026910,33884592450
027040,51843691015
027710,303053152000
027970,107067174420
028050,4860800000000
028080,69805158300
028100,212175000000
028260,21305127234000
029480,352691390425
029530,331128952650
029780,3968167016750
029960,452000000000
030000,2743733216250
030190,1202153436000
030200,7963910144000
030210,396866725360
030520,502816408500
030530,401637501200
030720,44164609450
030960,177378000000
031310,73486344060
031430,239904000000
031440,350072192000
031510,79380000000
031820,112577863380
031980,238264464750
032280,79770862800
032350,1399368372400
032540,83311021820
032560,136224000000
032580,44065645120
032620,400352056130
032640,6265373030350
032680,33853915280
032750,40158000000
032790,157418058850
032820,313944111350
032830,13460000000000
032850,142129155150
032940,85144316400
033100,106172523490
033130,128975552825
033160,411074937650
033170,150024558250
033200,103901091250
033240,333835000000
033270,791935072500
033290,812432148120
033310,398984664590
033320,122905797760
033500,364013553200
033530,304639522950
033540,359719564925
033560,161424000000
033640,808225030100
033780,11134421506700
033830,266500000000
034020,12298821731086
034120,987464686200
034220,6515108265600
034230,1582402492800
034310,640210870000
034810,372941616700
034830,590824798200
034940,126397694160
035080,2719836960500
035150,191664000000
035200,67627600500
035290,141816607650
035420,66767977595000
035460,42128512600
035600,520417694100
035720,55961201745000
035760,3868302765600
035810,291527656375
035890,422847560880
035900,1860068580800
036010,150210154200
036030,451467596430
036090,148430628325
036120,118925000000
036180,74300172600
036190,196500000000
036200,406300954750
036420,1280827660000
036460,4089465900000
036480,58900000000
036540,1041033717990
036560,158287500000
036570,13765171794000
036620,182884274820
036630,671692000000
036640,151608996000
036670,99626800000
036690,85486754952
036800,336000000000
036810,554798119500
036890,267538989200
036930,542803635000
037070,217028000000
037230,137423175325
037330,148112631000
037350,85085000000
037400,77227753970
037440,89521514250
037460,199085968400
037560,535157837150
037710,61920000000
038010,49320000000
038110,126563346480
038290,308979900000
038390,214737000000
038540,494635118220
038620,195998808960
038680,105774914700
038870,103453956540
038950,63000420050
039010,76848750000
039020,130087923840
039030,1321887715000
039130,1139681704785
039200,873391463850
039240,203500000000
039310,70946326305
039420,105193849150
039440,259612000000
039560,258303949800
039570,307597571850
039740,43620079680
039830,110857767000
039840,593902733850
039860,192428501860
040300,145740000000
040420,118992619680
040610,81979706380
040910,225817662500
041020,88458781200
041190,995400000000
041440,105883229040
041510,1856929458200
041520,99947586000
041650,96943596750
041830,371514681300
041910,124931761500
041930,225150000000
041960,524719536300
042420,442843300000
042500,80316471940
042510,189853722860
042520,141441734000
042600,400039082800
042670,1609881459318
042940,992596524000
043100,81417338720
043150,602340080800
043200,47447897525
043260,88385910520
043340,78120000000
043360,30555000000
043370,232050000000
043610,341137621060
043650,155010078720
043710,51822583800
043910,96151414208
044060,20859468954
044340,361043185000
044450,275911972000
044490,220081191000
044820,167588421450
044960,104421953580
044990,73983980400
045100,276300000000
045300,49313722456
045390,468177014760
045510,78912765400
045520,130650000000
045660,200718000000
045970,228939421200
046120,178524274500
046210,120351791700
046390,168590303365
046440,356806969920
046890,868750460000
046940,97420746500
047040,2597641487500
047310,271925757800
047400,150150000000
047560,203614862800
047770,111635675900
047810,2977864518850
047920,413656184700
048410,908503467000
048430,124992000000
048470,68300000000
048530,652250486600
048550,453701570000
048770,54588348540
